Zaehlrohrwinkel	Rate-bei-35kV
2*theta/°	R(35kV)/Imp/s

4.0	3863.0
4.4	3422.0
4.8	2577.0
5.2	1852.0
5.6	1087.0
6.0	431.0
6.4	246.0
6.8	203.0
7.2	169.0
7.6	160.0
8.0	145.0
8.4	119.0
8.8	105.0
9.2	122.0
9.6	120.0
10.0	129.0
10.4	125.0
10.8	137.0
11.2	132.0
11.6	0.0
12.0	140.0
12.4	149.0
12.8	142.0
13.2	121.0
13.6	178.0
14.0	182.0
14.4	190.0
14.8	204.0
15.2	208.0
15.6	210.0
16.0	235.0
16.4	400.0
16.7	724.0
17.2	377.0
17.6	274.0
18.0	323.0
18.4	377.0
18.8	1853.0
19.2	2359.0
19.6	522.0
20.0	357.0
20.4	352.0
20.8	334.0
21.2	370.0
21.6	342.0
22.0	341.0
22.4	365.0
22.8	345.0
23.2	352.0
23.6	371.0
24.0	334.0
24.4	385.0
24.8	329.0
25.2	307.0
25.6	280.0
26.0	249.0
26.4	226.0
26.8	241.0
27.2	227.0
27.6	220.0
28.0	224.0
28.4	214.0
28.8	206.0
29.2	197.0
29.6	200.0
30.0	187.0
30.4	184.0
30.8	158.0
31.2	211.0
31.6	169.0
32.0	156.0
32.4	144.0
32.8	155.0
33.2	133.0
33.6	144.0
34.0	125.0
34.4	138.0
34.8	161.0
35.2	148.0
35.5	137.0
36.0	107.0
36.4	123.0
36.8	97.0
37.2	113.0
37.5	106.0
38.0	91.0
38.4	97.0
38.8	77.0
39.2	164.0
39.5	250.0
40.0	280.0
40.4	135.0
40.8	70.0
41.2	77.0
41.5	71.0
42.0	70.0
42.4	70.0
42.8	69.0
43.2	50.0
43.6	59.0
44.0	57.0
44.4	54.0
44.8	50.0
45.2	59.0
45.6	49.0
46.0	49.0
46.4	47.0
46.8	50.0
47.2	42.0
47.6	35.0
48.0	44.0
48.4	35.0
48.8	31.0
49.2	46.0
49.6	37.0
50.0	31.0
50.4	46.0
50.8	43.0
51.2	41.0
51.6	38.0
52.0	35.0
52.4	36.0
52.8	22.0
53.2	31.0
53.6	29.0
54.0	37.0
54.4	28.0
54.8	32.0
55.2	20.0
55.6	20.0
56.0	33.0
56.4	27.0
56.8	23.0
57.2	20.0
57.6	21.0
58.0	20.0
58.4	26.0
58.8	25.0
59.2	28.0
59.6	17.0
60.0	19.0
60.4	29.0
60.8	19.0
61.2	19.0
61.6	30.0
62.0	47.0
62.4	47.0
62.8	30.0
63.2	25.0
63.6	19.0
64.0	17.0
64.4	15.0
64.8	32.0
65.2	16.0
65.6	23.0
66.0	24.0
66.4	27.0
66.8	14.0
67.2	16.0
67.6	19.0
68.0	19.0
68.4	20.0
68.8	28.0
69.1	15.0
69.6	26.0
70.0	15.0
70.4	13.0
70.8	17.0
71.2	23.0
71.6	19.0
72.0	21.0
72.4	15.0
72.8	16.0
73.2	19.0
73.6	19.0
74.0	16.0
74.4	10.0
74.8	17.0
75.2	16.0
75.6	11.0
76.0	23.0
76.4	23.0
76.8	15.0
77.2	18.0
77.6	18.0
78.0	10.0
78.4	12.0
78.8	14.0
79.1	14.0
79.6	19.0
80.0	16.0
80.4	16.0
80.8	16.0
81.1	12.0
81.6	22.0
82.0	10.0
82.4	10.0
82.8	13.0
83.2	12.0
83.6	8.0
84.0	16.0
84.4	13.0
84.8	10.0
85.2	13.0
85.6	17.0
86.0	13.0
86.4	13.0
86.8	14.0
87.2	9.0
87.6	27.0
88.0	20.0
88.4	23.0
88.8	14.0
89.1	11.0
89.6	13.0
90.0	9.0
90.4	11.0
90.8	11.0
91.1	16.0
91.6	14.0
92.0	13.0
92.4	12.0
92.8	12.0
93.2	6.0
93.6	8.0
94.0	12.0
94.4	10.0
94.8	8.0
95.2	12.0
95.6	16.0
96.0	8.0
96.4	12.0
96.8	12.0
97.2	12.0
97.6	11.0
98.0	10.0
98.4	19.0
98.8	19.0
99.2	5.0
99.6	6.0
100.0	12.0
100.4	10.0
100.8	8.0
101.2	3.0
101.6	18.0
102.0	19.0
102.4	10.0
102.8	12.0
103.2	10.0
103.6	11.0
104.0	14.0
104.4	8.0
104.8	7.0
105.2	9.0
105.6	10.0
106.0	10.0
106.4	13.0
106.8	2.0
107.2	9.0
107.6	10.0
108.0	14.0
108.4	8.0
108.8	18.0
109.2	11.0
109.6	8.0
110.0	10.0
110.4	9.0
110.8	12.0
111.2	11.0
111.6	11.0
112.0	9.0
112.4	13.0
112.8	7.0
113.2	10.0
113.6	17.0
114.0	7.0
114.4	12.0
114.8	12.0
115.2	9.0
115.6	3.0
116.0	13.0
116.4	9.0
116.8	7.0
117.2	15.0
117.6	16.0
118.0	14.0
118.4	13.0
118.8	17.0
119.2	13.0
119.6	13.0
120.0	15.0
120.4	12.0
120.8	13.0
121.2	11.0
121.6	18.0
122.0	17.0
122.4	12.0
122.8	9.0
123.2	15.0
123.6	12.0
124.0	19.0
124.4	14.0
124.8	15.0
125.2	17.0
125.6	10.0
126.0	8.0
126.4	19.0
126.8	16.0
127.2	10.0
127.6	9.0
128.0	14.0
128.4	14.0
128.8	16.0
129.2	10.0
129.6	21.0
130.0	13.0
130.4	8.0
130.8	11.0
131.2	12.0
131.6	18.0
132.0	13.0
132.4	14.0
132.8	13.0
133.2	11.0
133.6	14.0
134.0	13.0
134.4	22.0
134.8	9.0
135.2	11.0
135.6	8.0
136.0	14.0
136.4	13.0
136.8	12.0
137.2	17.0
137.6	17.0
138.0	14.0
138.4	17.0
138.8	19.0
139.2	17.0
139.6	14.0
140.0	15.0
140.4	12.0
140.8	7.0
141.2	9.0
141.6	11.0
142.0	14.0
142.4	15.0
142.8	9.0
143.2	7.0
143.6	24.0
144.0	16.0
144.4	12.0
144.8	12.0
145.2	14.0
145.6	17.0
146.0	6.0
146.4	9.0
146.8	15.0
147.2	11.0
147.6	0.0
148.0	12.0
148.4	16.0
148.8	10.0
149.2	14.0
149.6	17.0
150.0	13.0
150.4	18.0
150.8	13.0
151.2	15.0
151.6	10.0
152.0	17.0
152.4	11.0
152.8	11.0
153.2	15.0
153.6	10.0
154.0	12.0
154.4	14.0
154.8	18.0
155.2	13.0
155.6	19.0
156.0	13.0
156.4	10.0
156.8	15.0
157.2	26.0
157.6	13.0
158.0	24.0
158.4	20.0
158.8	12.0
159.2	16.0
159.6	12.0
160.0	13.0
160.4	17.0
160.8	17.0
161.2	18.0
161.6	22.0
162.0	9.0
162.4	17.0
162.8	13.0
163.2	18.0
163.6	8.0
164.0	23.0
164.4	15.0
164.8	12.0
165.2	15.0
165.6	17.0
166.0	14.0
166.4	9.0
166.8	13.0
167.2	10.0
167.6	19.0
168.0	21.0
168.4	19.0
168.8	13.0
169.2	14.0
169.6	15.0
170.0	12.0
170.4	21.0
