Zählrohrwinkel	Rate bei 20kV
2*theta/°	R(20kV)/Imp/s

6.0	45.0
6.4	21.0
6.8	5.0
7.2	3.0
7.6	5.0
8.0	1.0
8.4	2.0
8.8	2.0
9.2	1.0
9.6	1.0
10.0	3.0
10.4	3.0
10.8	0.0
11.2	0.0
11.6	1.0
12.0	5.0
12.4	2.0
12.8	0.0
13.2	2.0
13.6	2.0
14.0	1.0
14.4	2.0
14.8	1.0
15.2	3.0
15.6	4.0
16.0	4.0
16.4	3.0
16.7	2.0
17.2	10.0
17.6	20.0
18.0	33.0
18.4	26.0
18.8	34.0
19.2	42.0
19.6	47.0
20.0	43.0
20.4	83.0
20.8	75.0
21.2	63.0
21.6	71.0
22.0	71.0
22.4	57.0
22.8	53.0
23.2	72.0
23.6	66.0
24.0	99.0
