Zählrohrwinkel	Rate bei 12kV
2*theta/°	R(12kV)/Imp/s

16.0	1.0
16.4	0.0
16.7	0.0
17.2	0.0
17.6	1.0
18.0	0.0
18.4	1.0
18.8	1.0
19.2	0.0
19.6	0.0
20.0	0.0
20.4	1.0
20.8	1.0
21.2	0.0
21.6	0.0
22.0	1.0
22.4	0.0
22.8	0.0
23.2	0.0
23.6	0.0
24.0	0.0
24.4	0.0
24.8	0.0
25.2	0.0
25.6	0.0
26.0	1.0
26.4	0.0
26.8	1.0
27.2	1.0
27.6	0.0
28.0	0.0
28.4	0.0
28.8	1.0
29.2	0.0
29.6	2.0
30.0	1.0
30.4	4.0
30.8	8.0
31.2	10.0
31.6	5.0
32.0	2.0
32.4	8.0
32.8	9.0
33.2	9.0
33.6	6.0
34.0	4.0
34.4	8.0
34.8	10.0
35.2	15.0
35.5	0.0
36.0	9.0
36.4	5.0
36.8	7.0
37.2	6.0
37.5	8.0
38.0	10.0
38.4	5.0
38.8	7.0
39.2	4.0
39.5	5.0
40.0	4.0
