Zaehlrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s
4.0	1295.0
4.4	1115.0
4.8	928.0
5.2	724.0
5.6	613.0
6.0	146.0
6.4	58.0
6.8	59.0
7.2	43.0
7.6	40.0
8.0	41.0
8.4	47.0
8.8	45.0
9.2	66.0
9.6	51.0
10.0	49.0
10.4	61.0
10.8	60.0
11.2	66.0
11.6	70.0
12.0	78.0
12.4	83.0
12.8	63.0
13.2	68.0
13.6	77.0
14.0	75.0
14.4	60.0
14.8	59.0
15.2	60.0
15.6	62.0
16.0	54.0
16.4	52.0
16.7	55.0
17.2	54.0
17.6	53.0
18.0	55.0
18.4	58.0
18.8	59.0
19.2	47.0
19.6	42.0
20.0	48.0
20.4	45.0
20.8	49.0
21.2	45.0
21.6	43.0
22.0	50.0
22.4	35.0
22.8	48.0
23.2	47.0
23.6	40.0
24.0	40.0
24.4	35.0
24.8	39.0
25.2	171.0
25.6	43.0
26.0	46.0
26.4	37.0
26.8	35.0
27.2	37.0
27.6	387.0
28.0	50.0
28.4	25.0
28.8	23.0
29.2	34.0
29.6	26.0
30.0	31.0
30.4	29.0
30.8	22.0
31.2	0.0
31.6	12.0
32.0	24.0
32.4	22.0
32.8	19.0
33.2	25.0
33.6	24.0
34.0	19.0
34.4	18.0
34.8	13.0
35.2	11.0
35.5	14.0
36.0	16.0
36.4	13.0
36.8	16.0
37.2	21.0
37.5	20.0
38.0	19.0
38.4	19.0
38.8	24.0
39.2	14.0
39.5	14.0
40.0	13.0
40.4	19.0
40.8	7.0
41.2	15.0
41.5	11.0
42.0	23.0
42.4	18.0
42.8	17.0
43.2	12.0
43.6	7.0
44.0	16.0
44.4	10.0
44.8	11.0
45.2	15.0
45.6	13.0
46.0	11.0
46.4	13.0
46.8	7.0
47.2	8.0
47.6	9.0
48.0	17.0
48.4	12.0
48.8	12.0
49.2	8.0
49.6	18.0
50.0	70.0
50.4	19.0
50.8	10.0
51.2	10.0
51.6	14.0
52.0	13.0
52.4	6.0
52.8	12.0
53.2	6.0
53.6	6.0
54.0	10.0
54.4	13.0
54.8	21.0
55.2	35.0
55.6	128.0
56.0	11.0
56.4	7.0
56.8	6.0
57.2	12.0
57.6	10.0
58.0	7.0
58.4	14.0
58.8	10.0
59.2	7.0
59.6	9.0
60.0	5.0
60.4	7.0
60.8	7.0
61.2	6.0
61.6	10.0
62.0	7.0
62.4	5.0
62.8	2.0
63.2	4.0
63.6	11.0
64.0	5.0
64.4	7.0
64.8	9.0
65.2	6.0
65.6	4.0
66.0	3.0
66.4	4.0
66.8	2.0
67.2	9.0
67.6	7.0
68.0	6.0
68.4	9.0
68.8	8.0
69.1	4.0
69.6	9.0
70.0	5.0
70.4	3.0
70.8	4.0
71.2	6.0
71.6	5.0
72.0	5.0
72.4	6.0
72.8	8.0
73.2	2.0
73.6	11.0
74.0	3.0
74.4	7.0
74.8	4.0
75.2	1.0
75.6	2.0
76.0	3.0
76.4	4.0
76.8	6.0
77.2	5.0
77.6	9.0
78.0	4.0
78.4	7.0
78.8	1.0
79.1	10.0
79.6	2.0
80.0	5.0
80.4	14.0
80.8	4.0
81.1	6.0
81.6	2.0
82.0	3.0
82.4	2.0
82.8	6.0
83.2	6.0
83.6	3.0
84.0	7.0
84.4	2.0
84.8	7.0
85.2	6.0
85.6	6.0
86.0	8.0
86.4	7.0
86.8	4.0
87.2	24.0
87.6	10.0
88.0	5.0
88.4	11.0
88.8	2.0
89.1	2.0
89.6	3.0
90.0	1.0
90.4	2.0
90.8	6.0
91.1	4.0
91.6	3.0
92.0	5.0
92.4	6.0
92.8	6.0
93.2	5.0
93.6	3.0
94.0	5.0
94.4	5.0
94.8	5.0
95.2	8.0
95.6	3.0
96.0	7.0
96.4	6.0
96.8	4.0
97.2	3.0
97.6	4.0
98.0	5.0
98.4	5.0
98.8	6.0
99.2	6.0
99.6	5.0
100.0	4.0
100.4	10.0
100.8	2.0
101.2	5.0
101.6	3.0
102.0	5.0
102.4	2.0
102.8	3.0
103.2	4.0
103.6	3.0
104.0	6.0
104.4	2.0
104.8	2.0
105.2	1.0
105.6	2.0
106.0	2.0
106.4	5.0
106.8	4.0
107.2	3.0
107.6	8.0
108.0	2.0
108.4	8.0
108.8	7.0
109.2	4.0
109.6	5.0
110.0	7.0
110.4	5.0
110.8	6.0
111.2	3.0
111.6	10.0
112.0	6.0
112.4	11.0
112.8	4.0
113.2	4.0
113.6	5.0
114.0	8.0
114.4	2.0
114.8	3.0
115.2	5.0
115.6	3.0
116.0	7.0
116.4	5.0
116.8	4.0
117.2	2.0
117.6	4.0
118.0	3.0
118.4	7.0
118.8	2.0
119.2	6.0
119.6	12.0
120.0	4.0
120.4	5.0
120.8	6.0
121.2	4.0
121.6	3.0
122.0	3.0
122.4	4.0
122.8	5.0
123.2	7.0
123.6	5.0
124.0	10.0
124.4	9.0
124.8	4.0
125.2	5.0
125.6	3.0
126.0	5.0
126.4	9.0
126.8	6.0
127.2	7.0
127.6	7.0
128.0	1.0
128.4	7.0
128.8	7.0
129.2	6.0
129.6	6.0
130.0	0.0
130.4	9.0
130.8	10.0
131.2	4.0
131.6	21.0
132.0	36.0
132.4	37.0
132.8	5.0
133.2	2.0
133.6	5.0
134.0	6.0
134.4	5.0
134.8	7.0
135.2	2.0
135.6	3.0
