Zaehlrohrwinkel	Rate bei 35kV
#2*theta/°	R(35kV)/Imp/s
4.0	3026.0
4.4	2525.0
4.8	2008.0
5.2	1524.0
5.6	1136.0
6.0	649.0
6.4	421.0
6.8	220.0
7.2	161.0
7.6	129.0
8.0	128.0
8.4	143.0
8.8	119.0
9.2	109.0
9.6	137.0
10.0	122.0
10.4	130.0
10.8	137.0
11.2	140.0
11.6	141.0
12.0	120.0
12.4	154.0
12.8	160.0
13.2	138.0
13.6	126.0
14.0	139.0
14.4	118.0
14.8	116.0
15.2	115.0
15.6	116.0
16.0	110.0
16.4	94.0
16.7	90.0
17.2	75.0
17.6	90.0
18.0	86.0
18.4	69.0
18.8	80.0
19.2	74.0
19.6	77.0
20.0	67.0
20.4	52.0
20.8	71.0
21.2	56.0
21.6	54.0
22.0	72.0
22.4	56.0
22.8	69.0
23.2	47.0
23.6	51.0
24.0	48.0
24.4	58.0
24.8	49.0
25.2	52.0
25.6	42.0
26.0	38.0
26.4	43.0
26.8	49.0
27.2	59.0
27.6	44.0
28.0	44.0
28.4	43.0
28.8	32.0
29.2	44.0
29.6	47.0
30.0	27.0
30.4	27.0
30.8	41.0
31.2	33.0
31.6	28.0
32.0	32.0
32.4	267.0
32.8	94.0
33.2	31.0
33.6	32.0
34.0	36.0
34.4	32.0
34.8	33.0
35.2	46.0
35.5	50.0
36.0	758.0
36.4	201.0
36.8	22.0
37.2	23.0
37.5	26.0
38.0	26.0
38.4	25.0
38.8	24.0
39.2	21.0
39.5	18.0
40.0	13.0
40.4	22.0
40.8	19.0
41.2	18.0
41.5	26.0
42.0	26.0
42.4	23.0
42.8	23.0
43.2	21.0
43.6	18.0
44.0	16.0
44.4	24.0
44.8	17.0
45.2	17.0
45.6	25.0
46.0	22.0
46.4	21.0
46.8	15.0
47.2	13.0
47.6	17.0
48.0	16.0
48.4	12.0
48.8	11.0
49.2	17.0
49.6	19.0
50.0	22.0
50.4	19.0
50.8	19.0
51.2	18.0
51.6	24.0
52.0	17.0
52.4	14.0
52.8	10.0
53.2	18.0
53.6	17.0
54.0	7.0
54.4	13.0
54.8	14.0
55.2	21.0
55.6	10.0
56.0	13.0
56.4	9.0
56.8	8.0
57.2	16.0
57.6	7.0
58.0	7.0
58.4	13.0
58.8	15.0
59.2	14.0
59.6	13.0
60.0	17.0
60.4	15.0
60.8	10.0
61.2	14.0
61.6	23.0
62.0	8.0
62.4	13.0
62.8	7.0
63.2	7.0
63.6	12.0
64.0	13.0
64.4	15.0
64.8	15.0
65.2	17.0
65.6	11.0
66.0	16.0
66.4	15.0
66.8	13.0
67.2	18.0
67.6	8.0
68.0	16.0
68.4	14.0
68.8	13.0
69.1	11.0
69.6	12.0
70.0	22.0
70.4	6.0
70.8	11.0
71.2	14.0
71.6	11.0
72.0	12.0
72.4	10.0
72.8	10.0
73.2	9.0
73.6	8.0
74.0	11.0
74.4	9.0
74.8	19.0
75.2	13.0
75.6	12.0
76.0	11.0
76.4	5.0
76.8	5.0
77.2	10.0
77.6	5.0
78.0	15.0
78.4	38.0
78.8	25.0
79.1	6.0
79.6	8.0
80.0	15.0
80.4	10.0
80.8	8.0
81.1	18.0
81.6	9.0
82.0	12.0
82.4	7.0
82.8	16.0
83.2	3.0
83.6	8.0
84.0	15.0
84.4	8.0
84.8	15.0
85.2	13.0
85.6	10.0
86.0	7.0
86.4	8.0
86.8	4.0
87.2	12.0
87.6	11.0
88.0	15.0
88.4	12.0
88.8	13.0
89.1	15.0
89.6	14.0
90.0	8.0
90.4	11.0
90.8	10.0
91.1	18.0
91.6	13.0
92.0	8.0
92.4	14.0
92.8	7.0
93.2	14.0
93.6	8.0
94.0	13.0
94.4	10.0
94.8	8.0
95.2	6.0
95.6	10.0
96.0	9.0
96.4	6.0
96.8	6.0
97.2	5.0
97.6	9.0
98.0	6.0
98.4	0.0
98.8	10.0
99.2	14.0
99.6	13.0
100.0	9.0
100.4	11.0
100.8	11.0
101.2	13.0
101.6	14.0
102.0	14.0
102.4	8.0
102.8	12.0
103.2	18.0
103.6	10.0
104.0	6.0
104.4	0.0
104.8	13.0
105.2	8.0
105.6	8.0
106.0	11.0
106.4	6.0
106.8	13.0
107.2	8.0
107.6	11.0
108.0	8.0
108.4	15.0
108.8	10.0
109.2	10.0
109.6	12.0
110.0	9.0
110.4	7.0
110.8	13.0
111.2	5.0
111.6	5.0
112.0	8.0
112.4	7.0
112.8	12.0
113.2	7.0
113.6	6.0
114.0	7.0
114.4	16.0
114.8	8.0
115.2	14.0
115.6	12.0
116.0	15.0
116.4	8.0
116.8	14.0
117.2	11.0
117.6	11.0
118.0	16.0
118.4	13.0
118.8	9.0
119.2	8.0
119.6	14.0
120.0	21.0
120.4	6.0
120.8	9.0
121.2	7.0
121.6	14.0
122.0	12.0
122.4	10.0
122.8	8.0
123.2	8.0
123.6	8.0
124.0	9.0
124.4	9.0
124.8	7.0
125.2	10.0
125.6	6.0
126.0	11.0
126.4	6.0
126.8	3.0
127.2	11.0
127.6	14.0
128.0	12.0
128.4	8.0
128.8	12.0
129.2	10.0
129.6	9.0
130.0	6.0
130.4	9.0
130.8	6.0
131.2	6.0
131.6	14.0
132.0	13.0
132.4	11.0
132.8	8.0
133.2	14.0
133.6	11.0
134.0	14.0
134.4	9.0
134.8	13.0
135.2	7.0
135.6	16.0
136.0	11.0
136.4	4.0
136.8	19.0
137.2	12.0
137.6	12.0
138.0	10.0
138.4	13.0
138.8	8.0
139.2	8.0
139.6	14.0
140.0	6.0
140.4	10.0
140.8	10.0
141.2	12.0
141.6	17.0
142.0	10.0
142.4	13.0
142.8	16.0
143.2	16.0
143.6	14.0
144.0	12.0
144.4	12.0
144.8	14.0
145.2	8.0
145.6	15.0
146.0	28.0
146.4	18.0
146.8	19.0
147.2	17.0
147.6	10.0
148.0	16.0
148.4	10.0
148.8	12.0
149.2	13.0
149.6	12.0
150.0	12.0
150.4	11.0
150.8	10.0
151.2	7.0
151.6	13.0
152.0	16.0
152.4	16.0
152.8	18.0
153.2	19.0
153.6	11.0
154.0	9.0
154.4	13.0
154.8	12.0
155.2	8.0
155.6	7.0
156.0	6.0
156.4	6.0
156.8	10.0
157.2	8.0
157.6	22.0
158.0	12.0
158.4	12.0
158.8	11.0
159.2	11.0
159.6	8.0
160.0	0.0
160.4	11.0
160.8	10.0
161.2	11.0
161.6	12.0
162.0	9.0
162.4	9.0
162.8	11.0
163.2	10.0
163.6	9.0
164.0	6.0
164.4	7.0
164.8	12.0
165.2	15.0
165.6	10.0
166.0	8.0
166.4	13.0
166.8	10.0
167.2	13.0
167.6	10.0
168.0	6.0
168.4	9.0
168.8	12.0
169.2	7.0
169.6	14.0
170.0	11.0
170.4	16.0
