  Notierte     | Ohne   | Entsprechende   | Position
  Messposition | Offset | Position in     | mit r=0
               |        | Messleitung     | im Zentrum
---------------+--------+-----------------+-----------
  23.00        |   0.00 |   0.00          | -20.00
  28.00        |   5.00 |   6.67          | -13.33
  29.00        |   6.00 |   8.00          | -12.00
  30.00        |   7.00 |   9.33          | -10.67
  31.00        |   8.00 |  10.67          |  -9.33
  32.00        |   9.00 |  12.00          |  -8.00
  34.00        |  11.00 |  14.67          |  -5.33
  36.00        |  13.00 |  17.33          |  -2.67
  38.00        |  15.00 |  20.00          |   0.00
  40.00        |  17.00 |  22.67          |   2.67
  42.00        |  19.00 |  25.33          |   5.33
  44.00        |  21.00 |  28.00          |   8.00
  45.00        |  22.00 |  29.33          |   9.33
  46.00        |  23.00 |  30.67          |  10.67
  47.00        |  24.00 |  32.00          |  12.00
  48.00        |  25.00 |  33.33          |  13.33
  49.00        |  26.00 |  34.67          |  14.67
  50.00        |  27.00 |  36.00          |  16.00
  51.00        |  28.00 |  37.33          |  17.33
  52.00        |  29.00 |  38.67          |  18.67
  53.00        |  30.00 |  40.00          |  20.00
